,tweet,hashtags,ref_user,urls,label
1106,rue vient traiter sale arabe arabe,,,,1.0
1107,comme si viennent pays profondément homophobes allaient devenir gay friendly jour,migrants,user user,,1.0
1108,personnage ainsi q tte clique gauchiste deguise 1 macronistes ttes ls qualites requises etaient,,url,,0.0
1109,rigole kan vois commentaires si 1 noir 1 arabe allait entendre dégage rentre,,user url,,1.0
1110,citation responsable etude sans doute lu vrai,,user user url,,0.0
1111,dit ça faisant valoir vocabulaire gauche attardé entoure depuis tant années,,,,1.0
1112,virer français remplacer migrants black branlent rien changement population pa,,url,,1.0
1113,paris première mise demeure propos éric zemmour migrants musulmans via,,url user,,0.0
1114,islamogauchistes célébré appellant anéantir ts juifs famille entièr,ahedtamimi,user url,,1.0
1115,propos zemmour migrants csa avertit paris première,,url,,1.0
1116,france pays plus taxé europe plus sale voudrait investir pays,,user url,,1.0
1117,plus 10 millions charlot gauchiste,,user,,0.0
1118,quand vois façon exprimer crois entre deux attardé mdr allez ciao,,user,,0.0
1119,rendue compte violence cette séance,,,,1.0
1120,petites blanches ptdr savaient lot a giga arabes renois encore plus fan,,url,,1.0
1121,scandale fait gauchiste libertin,,user,,1.0
1122,attarde petits détails,,,,0.0
1123,programme fillon yaurai gros bordel gauchiste,,user user user user url,,0.0
1124,fédère quand marcon saloperie gauchiste merde acco,,user user url,,0.0
1125,expulsion migrants africains question,,url,,1.0
1126,darons renois,,url,,1.0
1127,jviens tomber compte twitter insane putain mec attarde balais tete,,url,,1.0
1128,quel mongol fait cela signature,,url,,1.0
1129,terrorisme intellectuel ici dire définition décoloniale racisme exclus,,user user url,,0.0
1130,pk chats noir quasiment tous tête attardé,,,,0.0
1131,trouves comment physiquement rebeus forcément mecs tess craquant fou,,url,,1.0
1132,merci deux viens apprendre nationaliste antisémite complotiste,,user user url,,0.0
1133,rebeus elles quand mieux comme ça sous niqab,,user,,1.0
1134,empêche entre mecs mode olala mongol bla bla vaut rien fait cass,,user url,,0.0
1135,rebeus dur filles,,user,,1.0
1136,réservoir rebeus inégalable futur crack,,url,,1.0
1137,débile autiste dégénéré basque sait pourquoi perd bat couilles,,user,,0.0
1138,laisse tranquille sale juif homophobe,,user user,,1.0
1139,grossse gauchiste,,user user,,0.0
1140,keski va chez rire comme mongol ça,,url,,1.0
1141,rt castaner islamo gauchiste interieur crains non,,user user user,,1.0
1142,drogue inclut aussi terrorisme certainement car terroristes drogues,,user url,,0.0
1143,propose essai parles ching chong verras,,user user user user url,,0.0
1144,sale arabe mdrrr,,user user user,,1.0
1145,mouais bien virulent quand gauchiste dégénérée sciences sortait toute bonne,,user url,,0.0
1146,voyez appel communément mongol vrai incapable utiliser cerveau lire correc,,url,,0.0
1147,contre avortement fin qd g parler certains trucs a dit accord préférait avorter,,url,,1.0
1148,triste sœurs réussisse fois attarde futilités twe,,user url,,1.0
1149,nouvel eldorado rebeus plus trading mtn aéroport,,,,1.0
1150,appelle marie france ça a jamais empêché ching chong pleuvoir,,user,,1.0
1151,ça attarde psg parler fraudes fiscales ça dur 36 secondes bande tocar,,user url,,0.0
1152,quel ramassis attardé,,url,,1.0
1153,mongol,,url,,0.0
1154,vien jouer sale arabe,,user,,1.0
1155,essayez cacher racisme anti allemand dissimulant théorie comp,,user url,,1.0
1156,quoi style mec aussi préfère renois si blond yeux bleu oklm faut drôle auss,,url,,1.0
1157,négligences violence considérées comme maltraitance,,user user user user url,,0.0
1158,va jouer st nazaire club renois rebeux,,user,,1.0
1159,belle répartie digne enfant cm2 base maman comme tout rebeus sans disci,,user user url,,1.0
1160,sprinteur attardé ouagadougou commence vraiment péter couilles,,,,1.0
1161,juste attardé,,url,,1.0
1162,archi fantasme débile,,user user user,,0.0
1163,nn ajouter bambis sale juif croiser nazi,,user,,1.0
1164,comme majorité renois france faites sondage verrez suffit rega,,user url,,1.0
1165,simon gamin loin être plus attardé réseau,,,,1.0
1166,taillé vrai question cas informe dis mongol mongolienne,,url,,0.0
1167,émission partait bien reconnaissance racisme anti blanc sauf gauchiste servi,,user url,,1.0
1168,pourquoi casses tête embrouiller cet attardé mental mdrrr perte temps,,user,,0.0
1169,migrants richesse europe typhus abdominal,,,,1.0
1170,délit solidarité cédric herrou combat accueil protection migrants africains dan,,url,,1.0
1171,accord gauchiste,,user user,,0.0
1172,remplacé autre renoi snaps sale algérienne,,,,1.0
1173,ferme gueule darron croire tout renois dise ça plus gr,,user user url,,1.0
1174,expulser migrant,,,,1.0
1175,dès lsbah lillah sale arabe casse couilles allant prendre métroooooooo,,,,1.0
1176,jte carry sale arabe,,user user,,1.0
1177,germain dirait mongol franchement joueur importe quel attaquant national fait mieux,,user,,0.0
1178,rapport terrorisme argument vision biaisée islam dont parles ailleurs,,user url,,1.0
1179,liked video islamisation québec manifestation vendredi 15 décembre,,user url,,1.0
1180,2 2 deuxieme essage attarde fait spa accueil aussi animaux plus atypiques,,user user url,,0.0
1181,dites pseudo journaliste juriste islam a rien voir terrorisme merci,,user,,1.0
1182,ferme gros mongol retourne tweeter merde,,url,,1.0
1183,eh 2002 03 tl vie allez jamais stmg cas sociaux rebeus survêt giga débile,,,,1.0
1184,vivait ça meilleur vie renois ci renois là renois 1 rien dema,,url,,1.0
1185,éfugiés,kodikodday r insertion solida,,,1.0
1186,,migrants islam islamisation islamisme islam afrique immigrants macron lrem fra,,,1.0
1187,jpense hein ua mongol moment,,user user user user,,0.0
1188,bonne pote gauchiste chirio,,user user user,,0.0
1189,rt quand demande gauchiste argumenter,,user url,,1.0
1190,foi mongol,,user,,1.0
1191,wa fik ben assez simple abrutis écoute rap banlieue immigrés arabe noir islam terr,,user url,,1.0
1192,comprend pourquoi prenez gens contre avortement attardés croire débat simple,,url,,1.0
1193,genre mec finit tribunal violence conjugale,,url,,0.0
1194,mddrrrr parle mieux sale arabe,,user,,1.0
1195,bah petite fais moins 1m80 mongol naine,,user,,1.0
1196,recette montée extrême droite faites entrez beaucoup migrants temps échouez intégrat,,url,,1.0
1197,ok attardé mort parler,,user user user,,0.0
1198,guenolé gauchiste osé critiquer seules réelles féministes honorable e,,user user user url,,0.0
1199,rt peux empecher penser meme mecanique faux compte gauchiste provocateur,,user user,,1.0
1200,sous entend bobo gauchiste dont parle tous islamo gauchiste gens,,user user url,,0.0
1201,effectivement merci quel attardé,,user,,1.0
1202,plus sotteville cette attardé mental,,url,,0.0
1203,oui gauchiste car mets tout,,user user user user user url,,0.0
1204,capable lâcher sale arabe sale nègre sous effet colère premier degré u,,url,,1.0
1205,parole a trop attardé réseaux,,,,0.0
1206,peut fermer gueule avocate gauchiste dit inepties b,,user user url,,0.0
1207,ouais super 2 renois 50 maghrébins,,user user user user,,1.0
1208,eh renois dîtes quoi coiffeur qnd voulez dégradé blanc,,,,1.0
1209,cela excuse rien insultes harcèlement,,user user,,0.0
1210,attardé,,user,,1.0
1211,ok jean pierre alors ramènes bébé black asiatiques rebeus prcq commencent saouler,,url,,1.0
1212,fameuse intimidation phasme 60 kg crasse gauchiste,,user url,,0.0
1213,proverbe africain,,,,0.0
1214,ouf parle renois comme jparle asiatique arabes babtou chpas tveu quoi allez,,user url,,1.0
1215,non carte immunité tant islamo gauchiste,,user,,0.0
1216,ça mfume attardé affirment plein certitudes tel tel truc mieux a,,user user user url,,0.0
1217,renois chevalières doigts,,,,1.0
1218,relis tweet mongol va dormir,,user,,0.0
1219,ça enlevez ça localisation allez voir renois1 pcq localise renois 2 vu a trop con,,url,,1.0
1220,exemple tout bete,,user user,,0.0
1221,compare gars attardé car écoute pnl,,user user user user,,0.0
1222,fait quoi juste gouvernement pourquoi attarde futilités alors,,user user url,,0.0
1223,chaque mozart assassine comme a si bien rappelé,avortement manu,user user,,0.0
1224,raconte harcèlement dénote manque intelligence sans discernement rien éto,siel,user url,,1.0
1225,terrorisme mode opératoire procédé technique porte soi aucune idéologie mai,,user url,,0.0
1226,cette poule a insulte sale gauchiste,,url,,1.0
1227,mrdil écrit comme mongolece,fanzouzestupide mongol tpmp neuneu abruti,url,,0.0
1228,grèce augmentation nombre enfants réfugiés migrants,,,,1.0
1229,parler esclavage arabo musulman noirs toujours exister aucun renois parle hein,,url,,1.0
1230,meilleur discrit discrit renois,,,,1.0
1231,bon tg force sale arabe,,user,,1.0
1232,mongol leu damqko ragal trop mom milnee mkm maçon deug leu,,user,,0.0
1233,marrant tout pseudo fachos lyonnais applaudissent blacks rebeus sentez,olom,url,,1.0
1234,rend sous sale juif reptilien sous terre grand mère ecaille grand père queue poisson fdp,,user,,1.0
1235,rt attarde encore nombre participants marche alors fcc vient faire grand belle communica,,user,,1.0
1236,précision propos amie personnelle parisienne très bobo très gauchiste voté 2017,,user,,1.0
1237,pense mongol non stephanois,,user user,,0.0
1238,rien voir fait etre haut echelle alimentaire no,,user user url,,0.0
1239,rétorique préferée extreme droite raciste ami arabe ca marche,,user user url,,0.0
1240,renois sucrées comme ça beau,,url,,1.0
1241,espece autiste chromosome supplementaire spoiler quelque chos,,user user user user url,,0.0
1242,heureusement mis beye bâcher toutes conneries débite autre attardé mental,,,,1.0
1243,meilleur thiago messi voila terminenc crack meilleur attarde siecle bien,,url,,1.0
1244,ça sent gauchiste vexé fin discussion,,user user user user,,0.0
1245,cette technique reservée parents rebeus,,user,,1.0
1246,histoire mongol gauchiste big bisou hitler,,user user url,,0.0
1247,pm cambodgien reçoit chaleureuses félicitations homologue mongol,,url url,,1.0
1248,personnellement ville où habite plus chance mourir sel terrorisme,,user url,,0.0
1249,lutter contre violences faites femmes facilitant essor,,url,,0.0
1250,encore gauchiste déconnectée,,,,0.0
1251,psk mec dooooooooozo ptn balaise taah comme ptit renois tout frêle,,,,1.0
1252,encore plus cis nnsans deconner tout putains mecs trans vu passer,,user url,,1.0
1253,lyon vraiment ville attardé,,,,0.0
1254,commence intéresser rebeus jsais spasse,,,,1.0
1255,prof utilisé photo cours violence école ptdr petite victime,,user url,,0.0
1256,220 413 albums vendus beaucoup pq fais attardé comme ça,,user user,,0.0
1257,remarque application majestueuse logique gauchiste fébrile rhétorique insulte,,user url,,0.0
1258,faux nul zéro majorité arabes,,user,,1.0
1259,cru film juste gars peut attardé peut trop influencé films virtuel,,user url,,0.0
1260,doit mongol niveau 8 échelle richter laisse tombé vaincus,,user user user user,,0.0
1261,prenne bien evidemment plus gros mongol reseau,,,,1.0
1262,cas terrorisme intellectuel juif université uppsala,,,,1.0
1263,terme takfiri utilisé autorités iraniennes désigner djihadistes sunni,iran terrorisme,url,,1.0
1264,si vrai faudrait féministe rennes 1 2 idc,,user,,0.0
1265,zidane places où attardé,,url,,0.0
1266,antisemitisme virus mutant tour tour visage extrême gauche extrême droite,,url,,1.0
1267,rt trouve ca gauchiste dire 17 novembre mouvement extreme droite cependant peut nier fait,,user,,1.0
1268,tas sacré problème rebeus laisse aimer tout style mec nan laisse soeur tranquille,,user,,1.0
1269,seul humain va chez coiffeur finit cheveux entre dents mongol bien,,,,1.0
1270,putain dirait presque cela fait exprès migrants,,user user user url,,1.0
1271,jsuis mort enft si ya qlq cas isolés tete croises rebeus rue fa,,user url,,1.0
1272,quand apprends prof histoire fait articles sites raconter contre islamisation france,,,,1.0
1273,diversion terrorisme causer im,,user user user url,,0.0
1274,grande somme réclamée maduro onu réfugiés via,,url user,,1.0
1275,sai mongol,,user,,0.0
1276,ptdr darons vont payer tout degradez pdnt purge bande attardé,,,,0.0
1277,pa francai jui mongol,,user,,0.0
1278,meufs style gars renois mois après sorte jérémy,cesoirtribunal,,,1.0
1279,vegans contre avortement,,,,1.0
1280,ptdrrr juré eh attarde jleur donne heure bouffonnes,,user,,0.0
1281,quand 20 q i généralement abstient donner avis quelque chose maitrise attardé,,user,,0.0
1282,tout fait accord summoning comme ca attarde côté sombre seigne,,user user url,,0.0
1283,fachosphere ete inventee conosphere gauchiste cours arguments survie peut nla cgt ap,,url,,1.0
1284,jsuis raciste negrophobes esh grave potes renois rebeu asian européens b,,user user url,,1.0
1285,retard tt arabes fait ça,,user,,1.0
1286,note médias decidement beaucoup mal nommer racisme anti blancs comme tel bien pensence gauchiste veille,,,,1.0
1287,alerte mongol,,user user,,0.0
1288,contre avortement pierre vois difficilement comment peut être contre réalité,,url,,1.0
1289,tien advairsaire si adversaire déplace espece mongol apres,,user user url,,0.0
1290,pauvres cons imposent dictature gauchiste dieudonné soral zemmour int,,user user url,,1.0
1291,attardé mehdi,,user,,0.0
1292,ptdrrr tout anti satanistes theorie complot sauce,,url,,1.0
1293,cali con insupportable fait tjrs esclandres plateaux télé gauchiste jusqu bout,,url,,1.0
1294,demain dis asiat ching chong crois a,,url,,1.0
1295,maghrébines attirés renois elles comme lgbt obligé revendiqué,,,,1.0
1296,quel mongol mec,,user user,,0.0
1297,betises attardé,,,,1.0
1298,migrants africains nus agressent sauvagement françaises cergy,,user user,,1.0
1299,fréquemment arabes reconaissent france belle mieux sans français,,user user,,1.0
1300,gauchiste marine pen extreme droite france sketch team pochtrons gars,,user url,,1.0
1301,contre doxa gauchiste passe facho simplisme paroxysme,,user,,1.0
1302,après 60 ans sale nègre sale bougnoule sale melon sale arabe temps parler peu racisme,cavous,,,1.0
1303,parce genre plus part renois surtout states matrixer donc fallu black p,,user url,,1.0
1304,juste nul adolescent attardé griffes vulgaire rombière entouré pires tocards carriér,,url,,1.0
1305,aujourd hui première fois vie a traité sale arabe rue partie del,,,,1.0
1306,quand wauqiuez fait presque passer phillipe gauchiste droit être dépité,lemissionpolitique,,,0.0
1307,sale comme juif,,user,,1.0
1308,donc viens insulter arabes fdp propose encore bras mdrrrr passe maison e,,url,,1.0
1309,contre stigmatisation avortement homosexualité parfaitement taquet,,user user,,0.0
1310,blanc tire juifs fou arabe fait chose terroriste,,,,1.0
1311,gare propos islamophobes facho gauche droite islam belle religion paix partag,,url,,1.0
1312,renois pourraient plaire type mecs meufs donc oui,,url,,1.0
1313,ça veut dire époque ts rebeus revenaient bled paires tn falsch mom,,user user url,,1.0
1314,jour college époque fait insulter sale juif musulman juif complexé ëtr,,url,,1.0
1315,tous conservateurs soutenant wauquiez reelles gauchiste refoule nle vote utile rn point barre,,url,,1.0
1316,viens snap mongol fait audio,,user,,0.0
1317,moore réalisateur attarde énormément contacts physique personnages corps tatoués su,,url,,1.0
1318,faute si écris comme attardé atrophié,,user user user user url,,0.0
1319,ça va faire mongol,,user,,0.0
1320,mongolien verratti 43 ans toujours progressé tête toujours débile,,,,1.0
1321,top bienvenue où migrants africains complètement nus agressent sauvagement français,cergy,user url,,1.0
1322,surtt psk gros mongol,,,,1.0
1323,mdrrrrr genre a absolument noms arabes seul blanc fasse conneries top 20,,url,,1.0
1324,braqueur black braqueur non violeur pédophile juif prédateur sexuel tout court k,,user url,,1.0
1325,unf mongol,,,,1.0
1326,encore trop femmes victimes violence conjuguales,,url,,0.0
1327,attardé derrière éclate gros crâne pastèque,,user url,,0.0
1328,là diner affaires tenue foot assis table face mac st ger si voyez 5 rebeus,,url,,1.0
1329,oh non dites cette information vraie touche fond cet ado attardé,,url,,1.0
1330,aime meufs renois bah pourquoi aimerai,,url,,1.0
1331,sale radin juif wallah jte passe rien manger,,,,1.0
1332,ptddrr aym rappel renois voulait vendre faux appelait martine batard,,user url,,0.0
1333,a renois grave bounty hein vont sortir oui non afrique mérite arrive,,url,,1.0
1334,renois twitter font star toute leurs scolarité clash leurs perruques faut oubliez,,,,1.0
1335,gosse 12 ans tient compte quoi exprime comme mongol,,user user,,1.0
1336,chiffres arabes comme connait créés arabes réalité inventés mathématiciens indiens,,,,1.0
1337,libre film hymne collaboration colonisation peuplement africaine ar,,user url,,1.0
1338,assume être attardé rien mal,,user user user,,0.0
1339,haine jtentre cours là pont deux rebeux voiture fixé jlai regarde,,url,,1.0
1340,donc ancien patron dgse faut lutter contre terrorisme luttant contre inégalités,,url,,1.0
1341,école vandalisée marseille,marseille ecole violence,url,,1.0
1342,déjà france personne dit nigga mdr après entre pote rebeu renoi tout monde appel negro rebeu sale ara,,url,,1.0
1343,bon toutes façons cette attardé continuera harcèle mdr,,user user,,0.0
1344,constat simple europe livrée invasion occupation islamisation grand remplacement mot o,,url,,1.0
1345,terre prénom légalement enjeu identitaire culturel où cris,tunisie arabe musulmane,url,,1.0
1346,ça va servir rien malheureusement mec déjà 3ème compte attardé va recréer u,,user url,,1.0
1347,jai déja sorti genre argument infondé attardé,,user user,,0.0
1348,quand vois noich servir burgers demande si vient restaurant chinois gens,,url,,1.0
1349,ensuite vais parler pnl oula alors faut jm attarde trop pcq a beaucoup dire encore,,url,,0.0
1350,clair veulent être rebeus renois réussir pécho meufs reste,,user url,,1.0
1351,vai dormir mongol,,user,,0.0
1352,reste tranquille seul attardé ici disant coach sait mê,,user user url,,0.0
1353,quel mongol riolo vient parc jouer offensive ligue 1,,user user user,,0.0
1354,putain quel mongol,,user,,0.0
1355,ça mclc tjrs veux tweet appuie comme mongol haut là,,,,1.0
1356,ferme geule connasse chansons rebeus si veux vivre comme ça etc rentre chez ici france,udpp,,,1.0
1357,nan avis visité map chassé tout plutôt attardé missions pri,,user url,,0.0
1358,lol beaucoup trop susceptibles renois twitter colon choque plus,,user url,,1.0
1359,donc gros plus animaux elevages exploitations quelques,,user user url,,1.0
1360,désastre 68tar interdit interdire pensez gauchiste mieux trahir peu,,user user user url,,0.0
1361,personne a demandé ouvrir gl sale arabe,,user,,1.0
1362,foutez paix sale juif,,user,,1.0
1363,matt groening pute gauchiste,,user,,0.0
1364,pourquoi semi jamais trop aide parait,,user user user,,0.0
1365,tete peux plus mongol dommage jepeux mettre balle,ps4share,url,,1.0
1366,médias sociaux associations lutter contre cyber harcèlement,,,,1.0
1367,parle constat fait essaie analyser,,user user user user user url,,0.0
1368,commencé mal parlé renois quand a retour flammes rage mdrrrrr,,user,,1.0
1369,foutu quoi mongol,,user,,0.0
1370,peut être parce tous renois insultent beurette vidéo traites comme putes,,user url,,1.0
1371,contre virage boulogne blancs plus bienvenus blacks rebeu,,user url,,1.0
1372,justement comprennent gens vaches crees homme,,user user url,,0.0
1373,mdr encore attardé mentale donc non recevable,,user,,0.0
1374,franchement ras bol fois moyen dénoncer violence conjugale masse tous moyens,,url,,1.0
1375,vais répondre encore fois autre proverbe arabe chameau,,user user user url,,0.0
1376,grave attardé,,user,,0.0
1377,jveux aller québec traiter gros renois stock français sans rien risquer sentir viril,,user,,1.0
1378,plus attarde doctorat moins publie plus dirige vers marges système product,,url,,0.0
1379,renois talent,cnfcrcl,,,1.0
1380,rt gauchiste 100 raison inadmissible poissons besoin plus espac,,user user,,1.0
1381,assimile immigration terrorisme islam bah voit bien mentalité disant,,user url,,1.0
1382,si donnaient autant mal éradiquer harcèlement éradiquer jeans trous plus personne,,url,,1.0
1383,sans blacks rebeus comme dit champion monde abrutis,,user user,,1.0
1384,mongol espère comprends mieux maintenant pauvre mongol,,user,,0.0
1385,a laisser cheval attardé devant,,user user,,0.0
1386,chauffeurs bus contrôleurs renois plus gros chiens métier a aucun débat avoir là dessus,,,,1.0
1387,trop moche attirer beaux renois chabin ça,,,,1.0
1388,attardé gare dehors ca appelle partout effet,,user,,0.0
1389,drs mongol royale communications pu merde javais 1milloom credit 18 jai,,user user url,,0.0
1390,lmao yaura moins rebeus certaines lignes actuelles ratp,,url,,1.0
1391,première fois vu dis putain encore sale arabe,,user,,1.0
1392,ah bah si veut explose race char leclerc car intelligence developper,,user user,,0.0
1393,vachement dit normal sale débile vannais juste pote,,user user user url,,0.0
1394,parce prédilection pensée complotiste penchant théories antisémit,,user url,,1.0
1395,peut être attardé mental type dit 200 vrai,,url,,1.0
1396,retiens juste tadas attardé,,user user,,0.0
1397,non grave woah mot appelle ching chong,,url,,1.0
1398,pq ça dérange a plein meuf arab kiff renois trouve dessus arabes e,,url,,1.0
1399,france pays multiculturelle observe langue française intègre mots arabes utilisés,,user url,,1.0
1400,meilleur scenario ceux arabes bz direct sans préliminaires mdrrr,,url,,1.0
1401,ah si a préférés mongol horde,,user url,,1.0
1402,vers pays origine merkel satisfaite après visite juge,expulsion migrants alger,url,,1.0
1403,alors déjà oui pck mavais pris mongol 2 crois oublié tweet di,,user url,,1.0
1404,viens découvrir mode nuit twitter vraiment attardé,,,,1.0
1405,adepte lieu commun gauchiste,,user user,,0.0
1406,faut foursome quatres renois celle là,,url,,1.0
1407,a renois tout renois différent tous mentalité puis jvois pb,,user,,1.0
1408,rebeus font gâteaux insta elles aiment trop mettre vents qd dm,,,,1.0
1409,adore dire ouiiiiiii bien chiant comme si parlais attardé,,user,,0.0
1410,pourtant jour nuit dénigrez arabes noirs etc quotidien si pouviez vs auri,,user url,,1.0
1411,tous participé purge juste vraiment attardé serre quoi faire i,purge,url,,1.0
1412,mongol parole ah oui vrai descend mdr,,url,,1.0
1413,gros mongol va 5 ans âge mental mdrr,,user,,0.0
1414,allo propalos ecologistes gauchiste aidez pauvres palestiniens construire maison vieux pneu,,url,,1.0
1415,violence masta,,user,,1.0
1416,marrant tous facho parle comme seul argument islamo gauchiste,,user,,1.0
1417,envie pleurer vraiment ntu refait soiree nlove,,user user,,0.0
1418,alcool arabes,,url,,1.0
1419,zemmour migrants paris première mise demeure csa valeurs actuelles,,url,,1.0
1420,soucis douleur familles victimes terrorisme musulman seule pr,belattar,user url,,1.0
1421,daron rebeu sorti pareil renois savez,,user user user user url,,1.0
1422,ouais askip sorti sale juif selon dires zeuby,,user,,1.0
1423,contre avortement quand moins 10 ans mwjxkwkx wsh jespere gaetan sinon bah bon courage,,url,,1.0
1424,safe challenge 20 amp 21 octobre paillasse és sentiment écurité èlement rue,incivilit ins harc,url,,1.0
1425,2018 encore gens manifestent contre droit avortement suisse partout ailleurs ail,,url,,0.0
1426,brévinois veulent ville,migrants,,,1.0
1427,mdr renois like fort insultes voit,,user user user,,1.0
1428,renois peux dire aime bien trouve belle psk sinon tête va croire bey,,url,,1.0
1429,végétarienne adhère cette violence fait mouvement vegan chacun doit être libre respect svp,,user user,,0.0
1430,prcq genre renoi peut aimer renois blanches,,url,,1.0
1431,oe contrairement islam christianisme faussement rattaché terrorisme dc,,user url,,1.0
1432,cette petite pute ferme gueule,,user user user,,0.0
1433,introduire ours accueillir migrants dignité,,,,1.0
1434,fais dla pub renois,,user user,,1.0
1435,deformation bobo gauchiste pa,,user user user user user user url,,0.0
1436,raciste mdrrr quel veut parler renois parle mal femmes rebeu,,user user,,0.0
1437,vient plateau comme tout gauchiste veut imposer discours font,hdespros,user url,,1.0
1438,ah oui exact compris premier tweet,,user user user user,,0.0
1439,plus quand bougnouls renoi maçonnerie agent sécurité quand noich propo,,url,,1.0
1440,absolument contre avortement surtout contrace,,user user url,,0.0
1441,regarde pp sale juif,,user,,1.0
1442,gare sheitan vrm chaque fois jmembrouille mongol fuck,,,,1.0
1443,algérie expulse migrants africains laisse mourir dé via,,url user,,1.0
1444,tema sourire negro juste fin,,url,,1.0
1445,ptdr palais beauté ferme tout renois poitiers panique jsuis extermine,,,,1.0
1446,vs etes mongol point savoir brancher ordi hdmi tv,,user user user,,0.0
1447,sous direction genghis khan immense empire mongol utilisé système postal avancé travers empire,uoim2,,,1.0
1448,psg draxler envoie message soutien enfants réfugiés via,,url user,,1.0
1449,racistes curious cat dieu apaise haine rancœur envers renois,,,,1.0
1450,ver mongol,,user user user,,0.0
1451,quand fou peut rigoler noiches rebeus renois blancs juifs fa,,url,,1.0
1452,aime vidéo chine rejet migrants africains adresse,,user url,,1.0
1453,tout passé trump continue alimenter théorie complot antisémite pays perdition,,url,,1.0
1454,soun meuf plus myope mond 50cm voit tjr fait pss cmme mongol,,url,,0.0
1455,ramene maladie,,,,1.0
1456,tunisie municipalité refuse encore donner prénoms non arabes enfants,,url,,0.0
1457,gâteaux rebeus étape 1,,url,,1.0
1458,arretez rebeu renoi comme si disai sucré salé,,,,1.0
1459,faut également rappeler pire forme violence celle,,user user user user url,,0.0
1460,rien voir extreme droitefaut arreter fumette gauchistetout mond,,user user user url,,0.0
1461,va crier complot gauchiste fou furieux blanc,fachosphere,url,,1.0
1462,etes pourtant toujours gauchiste malgre,,user user user user user url,,0.0
1463,faux bush parle terrorisme non islam terme croisade bien plus souvent employé,,user url,,0.0
1464,allez vas tire larmes crois mongol tout rose life,lfauit,,,1.0
1465,négationnisme racisme anti blanc islamo gauchiste argume,,user user user url,,1.0
1466,sale arabe,,url,,1.0
1467,truc fait polémique moment éric zemour autre meuf renois franchement truc polémique rien,,,,1.0
1468,raonic fait plus faute met points mongol mise force,,,,1.0
1469,idole tous renois fdp,,user user,,1.0
1470,maitena biraben rumeur raconte bonne gauchiste prévoit reverser intégralité somme,,url,,0.0
1471,utilise mot azrenik pr dire qqn embêtant chiant rebeus,,,,1.0
1472,forum suisse gouvernance internet attarde numérisation,,url url,,1.0
1473,faut gauche merdasses féministes zone rouge opposer islam,,user url,,0.0
1474,juste là affiche sucer rebeus dit dis place honte,,url,,1.0
1475,mdr babtous renois non musulmans fascinants ça aborde sexe toute décontrac,,user url,,1.0
1476,fouto mongol,,user,,0.0
1477,omg etais pret celle,,user url,,0.0
1478,mort léger mort trkl gens attardé ptn,,user,,0.0
1479,oui région gauchiste,,user,,0.0
1480,marsault quand va revenir attendrais niveau violence stratosphérique car gars nive,,user url,,0.0
1481,contre avortement pèses maison blanche emmènes collégiens faire ski avalanche pris,,url,,0.0
1482,rentré orlins matin levant entends voisins renois gueule fooorrt commmeennt ça,,url,,1.0
1483,attardé albanais souille suisse âneries mensonges,,user url,,1.0
1484,vraiment appelle ca fiotte viens sais dis,,user user url,,0.0
1485,plus prêt raconter merde défendre grosse merde erdogan gros attardé va comment ça,,url,,1.0
1486,ptdrrrrr mongol,,user,,0.0
1487,tout temps meufs rebeus 30 ans célibataires genre problème,,url,,0.0
1488,renois aimen trop faire mouvements bouche,,,,1.0
1489,attardé mental lol tenait propos haineux misogyne toute game défen,,user user url,,0.0
1490,aime trop couleur faite cheveux impression attarde moins gueule ça rattrape coup,,,,1.0
1491,rt soeur sept ans apprend jouer echec dis pourquoi faut proteger roi,,user,,1.0
1492,suivent rebeus tous rayons où v,,url,,1.0
1493,kamara gt gt mongol enceinte bluetooth,,,,1.0
1494,rt fort interessant gauchiste faire payer pollueurs pollution leurs industries produisent,,user,,1.0
1495,4g métro ça libère darons daronnes rebeus appel vidéo bled,,,,1.0
1496,base voulais tinsulter attardé,,user,,1.0
1497,enfants bordel 6 qi incroyable comment attardé,,user,,1.0
1498,dégoût dégoût dégoût faut accueillir migrants africains alors richesses pourrai,,url,,1.0
1499,meme pillage encore cliche gauchiste exiger peuple france ent,,user url,,0.0
1500,rebeu terre espèce sale pute va,,user user user,,1.0
1501,pck tape tjr actions renois griezmann,,user user,,1.0
1502,rebeus kiffent samsungs général g remarqué rebeuses plus iphones,,,,1.0
1503,rt prend tete gogols perd temp,,user user user user user,,1.0
1504,crois vraiment seul mongol regarder double fênetre petit écran,,user user url,,1.0
1505,plus nombreux moins oseront traverser énées,ours migrants pyr,user,,1.0
1506,partisans récit dérive gauchiste ilian karst,,url url,,1.0
1507,bobo gauchiste paris font merde vu donnent nom anglais concept passe upcycli,,url,,1.0
1508,rien fait déjà tais peu mongol,,user user user user,,0.0
1509,mdr club plus footix attardé club mdr club plus corrompu histoire,,user user user,,0.0
1510,bizarre croyais arabes faisait ça selon certains,,url,,1.0
1511,seule différence trouvé entre rich kid famous dex famous dex attardé sinon merde,,,,1.0
1512,note meme nntu veux faire videosntu contenu proposernnque fais espece attarde,,,,1.0
1513,grave potes rebeus blacks faisaient régulièrement contrôler jusqu leurs,,url,,1.0
1514,quoi bobo gauchiste mec relaxe devant quotidien écoute jul seulement donne,,url,,0.0
1515,ching chong,,,,1.0
1516,juste bio mec peut voir gauchiste in soumis,,user user,,0.0
