,tweet,hashtags,ref_user,urls,label
2438,partisans récit dérive gauchiste ilian karst via,,url user,,1.0
10933,revenir os x après hiatus forcé 5 mois seulement fenêtres boîtes linux rendent campeur heureux,,,,0.0
6771,sais peu comme selena,,,,0.0
10348,ça va travaille cet après midi donc pause vraiment très bonne pense,,,,0.0
4505,aww font rougir,,,,0.0
3423,repasse vêtements sale arabe fais,,user user,,1.0
4202,toujours train fumer sietar grâce poussée anciennes frontières garçon quelqu pourrait gagner argent manuel twitter,,,,0.0
6292,cause chanté petite théière quot depuis jours,,,,0.0
1861,gnegne simon choisis prénom arabe hihi trop drôle sale pute dégage vie vais déménager putain,,,,1.0
3467,jamais coisa mongol,,user,,0.0
10665,a vêtements conviennent,,,,0.0
1124,fédère quand marcon saloperie gauchiste merde acco,,user user url,,0.0
9840,après avoir remporté comp hier vais entrer celui ci certitude,,,,0.0
6167,travaille,,,,0.0
13978,quelle devez donc mettre site savez faites sorte blogueurs aiment wifi gratuit impressionnant,,,,0.0
594,faute migrants,,,,1.0
7919,réunion fin après midi côte ouest ligne choses vont si bien si bien,,,,0.0
3767,zulul attardé,,user,,0.0
4398,nouveau fond fonctionnait exactement comme voulais ennuyé ancien,,,,0.0
5669,voyages sûrs félicitations nouveau mouvement,,,,0.0
9336,oui plaît très reconnaissant,,,,0.0
7234,terminant bonne nuit bière froide savez jaloux,,,,0.0
300,grèce transferts réfugiés migrants vers continent accélèrent,,url url,,1.0
8569,garderons cela esprit merci conseils,,,,0.0
3593,appelle comment conard gauchiste laisse parler gens gauchiasse merde,,user user,,0.0
7905,a demandé conseil emploi mot kevlar,,,,0.0
12306,sourires merci toujours plus populaires peur liste meilleures photos,,,,0.0
12470,tweet,,,,0.0
11909,bonne chance nouvel album x,,,,0.0
2899,renois aiment trop taper 3x500 quand rigolent,,,,1.0
4896,demande a dirigé a définitivement publicité ipod avenir,,,,0.0
3952,ptdrrrr huile ricin sale attardé,,user,,0.0
1755,putain tartré fasse mongol pièce montée,,url,,1.0
4630,ok merci motivation,,,,0.0
10367,cendres cendres reviennent yay,,,,0.0
3539,personne doit imposer regime alimentair,,user user user url,,0.0
6980,windows 7 plutôt impressionnant création nouvelle marque entreprise réponses fichiers tester temps installation vraiment rapides,,,,0.0
7777,hey a thx suivi,,,,0.0
7643,si exigeant voulez dire simple alors oui oui,,,,0.0
6523,prépare installer bi stack nouveau,,,,0.0
13566,espère jours meilleurs miennes 14h30 ennuie endors mettrai musique ça va réconforter,,,,0.0
3908,lien tous deux arabes nationalistes a baath,,user user user url,,1.0
3614,bien aucune reponse intelligente part gauchistes gauchiste macronis,fbpe,user user url,,0.0
11025,excité deux autres dort tout a plus porter lunettes stupides lit,,,,0.0
7955,réveillé soleil aujourd hui sens vraiment plus heureux,,,,0.0
13,alors tous vraiment attardé,,user user user,,0.0
7101,oh oui buffets woohoo nouveau lieu shopping,,,,0.0
4189,cheveux bleus,,,,0.0
11605,viens entendre chose plus drôle neveu faisant rim lmma,,,,0.0
10765,doh encore regardé,,,,0.0
11771,yay apportez chaussures danse tout passé hardcore dancefloor entendre xxx,,,,0.0
8270,lol chose frappe yeux bruns chauds va sortir lol,,,,0.0
12911,gogg ramasser frère,,,,0.0
12173,ok aimant ici quot ey valentina nouvel album prince,,,,0.0
8640,prêt marcher,,,,0.0
1637,expulser migrants,,,,1.0
806,mongol,,,,1.0
10185,quel tweeter incroyable donne tous espoir nature humaine,,,,0.0
2631,encore plus attardé gens chaud,,user,,1.0
105,candidate démocrate iowa interview menaces contre avortement oregon états commencé vote,,url,,0.0
252,bh gros mongol quoi drol nab,,user,,1.0
7168,adore club starz adore vacances printemps mm deffffinitely dope,,,,0.0
2256,1 mongol,,user,,0.0
1888,coucou feministes parlons poils voulez chacune choix faire iel veut pilosit,,url,,0.0
6457,deuxième tentative salut stefan si joli,,,,0.0
2792,promet fais fête 21h invite renois fête commence 22h,,,,1.0
9983,steppenwolf tapis tapis magique,,,,0.0
8735,installant meebo maintenant pouvez parler quand ligne,,,,0.0
13299,fière wilmington a diminué 62 nombre homicides rapport temps an passé absolument louable,,,,0.0
9520,a téléchargé videooo maintenant éditer titre shizzly alors lierai peu,,,,0.0
1171,accord gauchiste,,user user,,0.0
13820,tout moment,,,,0.0
2215,bah encore moins dis beau etre pede jy donc bouge a,,user user url,,0.0
13103,dernier jour cours cette semaine,,,,0.0
12847,travaille recevoir aujourd hui car patrons profitent compétences,,,,0.0
3678,mongol 2,,user user,,0.0
11624,tellement bons vouloir obtenir repos bien mérité,,,,0.0
4690,mmmmmm café plaît lol,,,,0.0
10056,milieu automne ici sent comme hiver si cooooold,,,,0.0
9791,v cnbmm i5kea vidéo fontaine cette vidéo fait,,,,0.0
2844,pfff dingue nombre meuf blanche font fourrer renois font foot vazi quoi vo,,url,,1.0
717,info réfugiés burundais spoliés leurs biens effets,nduta tanzanie burundicrisis burundi,url,,1.0
10227,écouter musique woop,,,,0.0
1341,école vandalisée marseille,marseille ecole violence,url,,1.0
7296,f amp f superbe film dissout diesel,,,,0.0
2528,si arabes disent coupables sûrement innencents,,user,,1.0
11098,new york plaît,,,,0.0
5629,ill git dov to hookitupppp merci beaucoup 4 sayin hey,,,,0.0
11286,fenêtre brisée a réparé faut faire déjeuner,,,,0.0
8266,hahaha ouais a dit ozzy,,,,0.0
11041,oui beaucoup potentiel pense travaillé propre application iphone depuis mois maintenant comment allez fait moment,,,,0.0
2608,mdr rebeus discrets connais inquiètes,,url,,0.0
12154,merci voulez dire,,,,0.0
1118,quand vois façon exprimer crois entre deux attardé mdr allez ciao,,user,,0.0
4151,vu télé hier hier travailler,,,,0.0
5216,très bien gril toujours ouvert ici,,,,0.0
6986,oh mec seule chose manquante nouvelle bêta friendfeed utiliser tant client twitter bouton retweet,,,,0.0
3700,voilà ça ching chong encore,,user user,,1.0
2022,terrorisme intellectuel leçons mora,,user user user user user url,,0.0
3803,vraiment manières pédé veux être présence messieur sale gauchiste haineux,,user,,0.0
5492,remarqué cela a rendu triste parce tweet neww,,,,0.0
9771,gare capitale,,,,0.0
9053,concevant concept agréable propre aujourd hui espace blanc nom jeu,,,,0.0
12226,devrait faire faire café bien sûr après terminé planchers lol,,,,0.0
9539,absolument haut parleur,,,,0.0
6403,délicieux caramel latte goodness maman quelque chose ici lol,,,,0.0
5520,adore film,,,,0.0
1900,légende darons renois boîte bel bien vraie,,,,1.0
12642,planifiez alors cerveau bon essai cours exécution smaass espère semaine meilleure week end,,,,0.0
12267,merci siyab,,,,0.0
8593,meilleur client twitter simplicité tout 1 fait amour,,,,0.0
993,ah rebeus réel hein,,url,,0.0
13611,bâtonnets carottes,,,,0.0
4773,elvis mort vient rentrer maison citez mib,,,,0.0
3868,plus cupide gauchiste arrête masturber racket argent autres,,user url,,0.0
7738,marchez fête lancement cloches demain excité,,,,0.0
10453,convaincus faire deuxième conférence djugl soir espère devenir caractéristique trop régulière,,,,0.0
1318,faute si écris comme attardé atrophié,,user user user user url,,0.0
6007,trop tôt assez froid côté plus brillant passe pique nique aujourd hui,,,,0.0
2461,sai daqui mongol,askfandoms,,,1.0
1261,prenne bien evidemment plus gros mongol reseau,,,,1.0
9527,salut nouvelle vidéo cours plaît vérifiez tous commentaires bienvenus tellement excité xxxxx,,,,0.0
6534,image superbe visage poupée,,,,0.0
244,cergy rue nus agressant sexuellement femmes battant quand elles refusent ca,migrants,url,,1.0
4841,non cela ressemble bonne idée steve,,,,0.0
3062,sah peut difficilement être plus attardé gens classe phenomenal,,,,1.0
6781,beaucoup chats raison cette décision,,,,0.0
7982,selle buggy lol gentil passez bon jour steve amp prenez soin pensez tweet plus tard xx,,,,0.0
10379,omg stephen fry retour angleterre pays stephen fry cela rend peu trop excité sain,,,,0.0
1088,réponse type gauchiste scandale condamne,nickconrad,,,1.0
12475,posté,,,,0.0
10208,chien tellement mignon,,,,0.0
5381,brillant bruyant matin attend tournant vie heure déjeuner,,,,0.0
7133,ohh espère peux dormir bientôt chien mignon entendu compter moutons marchait parce cerveau fonctionne salut allemagne,,,,0.0
5205,yay hcc puis clé sable amp surfant grandes vagues,,,,0.0
2689,hier repris squats apres comment dire jambes feu marche comme mongol,,,,1.0
6129,passé moment incroyable,,,,0.0
10607,bien oui a fait sérieusement dû finir quelque chose utile donc trop tard regroupement,,,,0.0
4758,faites savoir pensez longue liste autres grands designers,,,,0.0
8349,aaaawww hey babes peut être mardi suce,,,,0.0
12617,mel vérifier encore,,,,0.0
8993,a accusé tricher petit ami trompeur comme si revoir gueule nuit féminine soir woop,,,,0.0
4095,main encore assez faible peux donner coup poing quelqu encore changer boutons fait fumée,,,,0.0
11248,bonne nuit tom avoir bon mardi vais faire savoir comment mercredi va,,,,0.0
2287,kkkkkkkkkkkkkkkk mlq mongol,,url,,0.0
5352,5 jeux consécutifs cette semaine 1 bas 4 aller impossible attendre,,,,0.0
8795,ferai,,,,0.0
1435,deformation bobo gauchiste pa,,user user user user user user url,,0.0
10682,tout bon reproches a envoyé gabb fb msg aujourd hui détails 18ème cool voir comment ça va côté,,,,0.0
9461,a dû envoyer bonjour espérons journée géniale devrez retentir étreignez,,,,0.0
132,ah oui tryptique immigration délinquance terrorisme conforté nombre attentats,,user url,,1.0
7176,chat dort visage damn huckleberry,,,,0.0
12676,bon,,,,0.0
9982,rien nb vraiment manquer endroit trés riche,,,,0.0
2,personne adresser réclamer voisin attardé puant bruyant administrat,,url,,0.0
2805,dla chema jcroi pa dla zebi mongol,,user,,1.0
13713,enfin école sortie maintenant maison,,,,0.0
13245,oui 16kg environ 40 livres apprécié entretien fait clavette steve quigong tellement précieux toute formation,,,,0.0
9821,très surpris b entendu senior utilise twitter,,,,0.0
10412,ok peux voir 20 questions très pénible ville quelle compagnie,,,,0.0
1858,rebeus elles aiment trop dire sal clochard va,,,,1.0
13508,2 funderworld va plombs copains peux prévoir toutes manèges paye,,,,0.0
1274,grande somme réclamée maduro onu réfugiés via,,url user,,1.0
12163,vu skivvies thème golf sexy mio destino lingerie golf,,,,0.0
13586,génial si pouvais supporter bruit ventilateur hahaha,,,,0.0
456,bah renois,,user,,1.0
10617,bien retour quoi joue twitter,,,,0.0
12257,signifie maintenant assis balle quot huer fantaisie rencontrer ici xxx,,,,0.0
5879,aime écrire lettres plainte oublie toujours envoyer agent changement tête lol,,,,0.0
8100,vais continuer choses juste aussitôt fini café xx,,,,0.0
9394,a remarqué ennemis rendent ironique si corrigé,,,,0.0
2970,aubenas 07 manifestation soutien migrants samedi 22 septembre 2018 partir 9h place mar,,url,,1.0
3385,wallah grave raison mec serieux balec vie nique mere sale feministe pute,,user,,0.0
10098,mec segway dont besoin,,,,0.0
3126,rt vive front national,,user user,,1.0
5849,impressionnant adore spectacle non vu enregistré alors vais probablement regarder peu ryan mignon,,,,0.0
8766,maintenant scribes peuvent porter leurs chaussures conférence presse grâce jarnail singh,,,,0.0
13662,chez maxi temps certains films horreur,,,,0.0
3325,ferme bouche petit bourgeois gauchiste a besoin propagande,,user user user,,0.0
1889,é mongol,,user user user,,0.0
8720,accablé profite,,,,0.0
227,toute franchise quel origine keske pense parents rebeus general,,,,1.0
6674,avoir jour congé,,,,0.0
2616,ptdrr ya 2 renois elles parlaient lingala chef ellle dit direct ooh parlez quelle langue imaginez,,url,,1.0
8635,nah pense aller côté mieux aide vraiment éviter balles,,,,0.0
13301,aime jésus aussi prépare école lt 3,,,,0.0
6057,sent maintenant bien présentation économique étudié pendant 4 ans dois connaître quelque chose,,,,0.0
6400,fait dormi pendant environ 6 heures juste bien 6 heures sommeil devrais sentir bien goooood,,,,0.0
4122,vient commencer travailler dernier avant vacances,,,,0.0
9663,ah ok heureux aider,,,,0.0
5738,bonjour aime cette chanson aussi prie maintenant,,,,0.0
4266,plaît item num 3418 catalog num 3 mart id lutsdoll amp level yes mother catalog num 554,,,,0.0
9157,soucis âge totalement crédible tant figure papa,,,,0.0
9111,wooooooooooow si mignon,,,,0.0
5911,dormir sous étoiles,,,,0.0
8512,ok tous ceux courent week end dm photo voiture amp marque modèle vais tout mettre blog,,,,0.0
8067,préparer démo client niveau stress chacun élevé,,,,0.0
10628,jour 2 bonjour,,,,0.0
3291,ben voilées font promo terrorisme france guerre,,user user url,,1.0
5547,vu cela avant changé chaud,,,,0.0
3514,tombez œillères violence touche aussi père,,user user user user user url,,0.0
3715,ah bon plus armée camerounaise derrière tout ça vraiment anti b,,user user url,,1.0
7653,donc journée budgétaire,,,,0.0
11627,hey texas froid musique va goooood malheureusement temps faire beaucoup choses cela cause école cependant,,,,0.0
12749,sûr mien aussi,,,,0.0
798,fatiguant donc dit fermer bouche grr blackos face normal porte tee shirt bande faux dérch,,user,,1.0
5730,chemin bon moyen oui seul bon chemin um non tout sais juste fonctionne clients,,,,0.0
2406,renois dis juste truc plait va raconter toutes histoire france,,,,1.0
10108,remarqué accord fait alors,,,,0.0
9200,fait verts aujourd hui attente crois orange jaunâtre,,,,0.0
5491,belle soirée longue productive nuit chauffe récompenses réalité télévisée maintenant dormis,,,,0.0
13871,avoir meilleure journée 3xh4,,,,0.0
10069,bonne idée faites savoir quand fait x,,,,0.0
8514,oh difficulté,,,,0.0
2997,être contre peine mort militer fond avortement si aussi fais caca logique,,url,,1.0
3281,mange veut arrête terrorisme intellectuel ça devient lourd,,user,,0.0
11598,note soi tweet avant boire tasse café matinale,,,,0.0
13888,eh bien rendez compte tout faute quel inconvénient,,,,0.0
5096,dormirai bien soir si mère chasse être retard ça,,,,0.0
5350,excellent retour,,,,0.0
3900,mongol dmais,,user,,0.0
3888,gros jvois trop renois parlez mal blanc général premiers vont splainsre racisme,,user,,1.0
4919,bizarre fin,,,,0.0
8942,mot recherchez écume,,,,0.0
12846,aime vidéo enfant tête rouge site rendait jour sucer beaucoup mieux merci,,,,0.0
7111,magnifique veux juste embrasser bénir,,,,0.0
2614,après police ferait mieux travail plus arabes noirs parmi policier,,user url,,1.0
5882,suffit télécharger maintenant glacé informera pense quand regarde,,,,0.0
11613,a mangé mangue depuis longtemps viens manger deux yum o,,,,0.0
6716,regarder paone who was jesus trilogie canal découverte dvr,,,,0.0
1972,déjà traité bougnoule negro sale juif quelle réaction,,user user user,,1.0
61,décidément importe quel attardé peut jours détenir carte professionnelle revoyez con,,user url,,1.0
13728,colliers assortis maintenant tout dont besoin bracelets jeffsladefrickinugh,,,,0.0
9582,appelle famachine jason bradbury,,,,0.0
13232,remontant redresser cheveux télécharger nds roms premier,,,,0.0
3784,gros meme wallah malade attardé pense,,user,,0.0
2129,aller aller sale arabe a aucune générosité salut,,user,,1.0
13955,boîte vais prendre demain priscilla,,,,0.0
8119,sœur a posté meilleure vidéo facebook,,,,0.0
13582,uber boreddd besoin coca jamais su apprends quelque chose nouveau tous jours,,,,0.0
10142,aller plage weeeee,,,,0.0
7513,goodmorning,,,,0.0
10433,dressing wifi cabrio,,,,0.0
13523,ceci clairement trompé plaignez cette autre compétition ainsi commence biais vert pur,,,,0.0
13316,minéraux blé régime dr piment petit déjeuner champions gens réveillent tard prennent première chose peuvent trouver,,,,0.0
3822,wsh ya enfants ki pleure inshallah ya daronnes dedans bande mongol,,url,,0.0
9322,oh goody autre façon faire sortir toutes allées venues ceux vaguement intéressés,,,,0.0
4954,accord vais bien compte jusqu 10,,,,0.0
3521,mdr si connecté vit comme donc attardé,,user user,,0.0
7718,1 jour espère,,,,0.0
10684,nouveau régime fonctionne bien entraîne moins jamais rétablit bien mange plus reste maigre agréable,,,,0.0
12573,juge permet jeu photos nues contre mcdonald toujours pouls nouvelles f amp b,,,,0.0
171,putain gars quand jeune gauchiste pouvais voir peinture fdp,,user,,0.0
4021,tellement jaloux espère passé bon moment vegas comment aimé acm aime spectacle,,,,0.0
13353,yo mate ça marche comme charme prêt tuer flux certaines personnes intéressantes suivre aussi si pouvez trouver,,,,0.0
3898,woaawwww vrai fais bien tourner ptn quel mongol contre nuls maison,,user url,,0.0
5745,aller coucher après spectacle disparaisse lifes pretty grand,,,,0.0
10460,wow superbes photos,,,,0.0
10931,manger kebab soleil ressemble mauvais titre chanson ha celui là aussi,,,,0.0
49,jvois vla renois comment parle blanc vnr sors raciste dis très sereinement,,url,,1.0
4776,prend mauvaises décisions,,,,0.0
801,question simple passe tête certains renois regarde comprends wesh exige,,url,,1.0
2702,plus 60 villes déjà dit oui venir aide réfugiés vôtre,,,,1.0
659,bien norman fasse vidéo contre avortement,,,,1.0
9108,préparons étapes écrans lumières déjà là,,,,0.0
3653,ca existe sofia sans reponse pire qd reponse cm tt rebeus ba jinsu,,user user url,,1.0
1233,marrant tout pseudo fachos lyonnais applaudissent blacks rebeus sentez,olom,url,,1.0
8238,a fixé niveaux frank a utilisé tileset différent donc tout grand chaos,,,,0.0
2424,heureusement mère sait attardé,,user user,,0.0
5035,bonjour twitt dudes tous coins monde,,,,0.0
4159,hmm accord entièrement parce très créatif vibrant night raison quelconque aussi besoin dormir 2,,,,0.0
10323,oui bonbon oeil,,,,0.0
10704,bonjour beau dimanche ensoleillé profitons temps pendant dure plus pluie chemin être créatif faire crèmes,,,,0.0
7582,connais peux attendre rencontrer rock star bubba tellement gâté,,,,0.0
275,gros dirait mongol sorti 3 fois chez trouver air avoir,,user url,,0.0
3649,exterminer faire souffrir ca rappelle deuxieme guerre mondiale ca,,user user,,0.0
2383,sos incendie terroristes partout palestiniens pratiquent terrorisme environnemental e,gaza palestiniens,url,,1.0
11929,rendez après cela dirige vers tottenham couroad rendez,,,,0.0
5008,mock documentary mockumentary,,,,0.0
12070,désolé sujet tous devraient être bons maintenant tout problème dm,,,,0.0
12664,pense excellente journée sauter ouvreur maison royale voilà,,,,0.0
13995,hou juste retour plus longue course sans escale 14 milles maintenant sais vraiment ressentent douleurs enchanté,,,,0.0
7075,wow presque 3 00 a devrais probablement aller lit bonne nuit tout bien bonjour plus tard,,,,0.0
10912,non nouveau baissé,,,,0.0
10623,haha ressemble caméra étrange faussée téléphone,,,,0.0
2397,centre réfugiés ouvre sans polémique 16e arrondissement paris,,url,,1.0
4643,vu voulais juste dire bonjour amazin inspiration remerciez beaucoup espère pouvoir rencontrer 1 jour,,,,0.0
335,partisans romance dérive gauchiste,,url url,,0.0
3588,trop attardé réseau,,user user user,,0.0
5955,a journée amoureuse courir sushi douche plage plage amusant,,,,0.0
1603,commentaires bas tous renois psq dit word aimerai tous asiat fassent pareil quand,,url,,1.0
379,va faire soigner attardé,,user user user user user,,0.0
9705,enfants comme éponges absorbent tout amour donnez seul squeeze tout monde passé xx,,,,0.0
9873,payé redondant a deux semaines vraiment besoin emploi,,,,0.0
11079,préfère,,,,0.0
2929,client osait dire cause pense seule renois cabinet,,user,,0.0
7966,sens comme pains croisés chauds,,,,0.0
2198,faut être mongol frapper quelqu ballon,,user user user,,0.0
1689,ptdrr mai vraiment peuple attardé,,url,,1.0
3081,président remède violence doit être recherché,dialogue,user,,0.0
5609,oui souviens groupe génial voulez répondre,,,,0.0
744,supprime photo jveu mongol abo posent leurs yeux,,user,,0.0
11874,oui ici,,,,0.0
10610,va bien pensaient cou cassé immobilisée donné relaxants musculaires,,,,0.0
8565,devrait dire soeur a réparée,,,,0.0
4241,remercie,,,,0.0
5073,babyknightowl appellerai trudy si veux lol vais bien pourquoi mauvaise humeur sweetheart,,,,0.0
4785,vraiment pris changement décor super,,,,0.0
11218,o lisez esprit article aujourd hui mieux finir publiez bientôt,,,,0.0
2957,mdr rebeus france occasion manger petit four bien usa,,url,,1.0
4357,ryanrossfanz lt suivez ryan uber,,,,0.0
1387,trop moche attirer beaux renois chabin ça,,,,1.0
5795,écouter société honneur,,,,0.0
2974,migrants africains pouvoir algérien expulse tour bras via,,url user,,1.0
5948,aime mieux,,,,0.0
110,vois quoi traiter mongol insulte espèce russe,,user,,0.0
2923,passage marin chinois serieusement empereur ching chong ayaaa,,user url,,1.0
10440,recherche aide tester glaçons concombre tout peux trouver recettes crevettes concombres,,,,0.0
13809,fabuleux frères shmenge jim cim destiné être drôle,,,,0.0
9637,voulons magie voulons cohérence quot expérience nouveau type client,,,,0.0
10174,aime malgré tout,,,,0.0
1015,va attirer tous attardé fan hanouna,,user user,,0.0
9410,peut attendre jusqu musique lt 3 amp hannah montana film,,,,0.0
1000,wauquiez gauchiste rapport,,user,,0.0
1508,rien fait déjà tais peu mongol,,user user user user,,0.0
12082,achetons ça bienvenue twitter,,,,0.0
5046,correct fait fois wooo resté plus longtemps prévu lol,,,,0.0
5705,owww comme donk diajarin,,,,0.0
7722,londres aujourd hui chalet suisse être précis x,,,,0.0
6117,faites attention pieds endoloris salle gym,,,,0.0
8644,nuit kelly x,,,,0.0
2856,entre usurpateur gauchiste caviar 20k mois frais 2 pourrits nl opposition gausse bonne e,,url,,0.0
6591,travailler tweeter faire facebook profiter lait moka framboise,,,,0.0
8026,bonjour joli jumeau,,,,0.0
11777,joint maintenant amour complet,,,,0.0
11697,merci cindy appelé comment vois merci avoir posé excellente question inspirée,,,,0.0
883,renois comme ça vener,,url,,1.0
10745,bas doit être retribution twc,,,,0.0
9945,juste voulez être accueilli,,,,0.0
10301,dieu bradie personne plus drôle surtout,,,,0.0
11811,réveillé très bonne humeur,,,,0.0
3886,sale juif non crois vu tete arabe service pur hallal ça oui,,user user url,,1.0
8870,oh yay dinners ready now haha,,,,0.0
1879,comment débattre entre gauchiste sans aucune contradiction,,user user user user user,,0.0
3820,islam interdit formellement terrorisme ceux connaissent histoi,,user user user url,,1.0
9866,habitue problème twitter,,,,0.0
10842,souvient année dernière concerts réunions attend impatience cela recommence,,,,0.0
11185,tout moment sis,,,,0.0
1597,putain fake mongol,,user,,0.0
7887,flutter prend microblogging twitter niveau suivant lol,,,,0.0
2533,antisémitisme expression part malade âme humaine canalise communauté partic,,url,,1.0
6564,quittent rue tendent tuyau balcon,,,,0.0
10087,hahaha rupture professionnelle drôle,,,,0.0
1329,oh non dites cette information vraie touche fond cet ado attardé,,url,,1.0
5428,swing through htwn amp obtenez 1er,,,,0.0
11700,morning fam espère tous jour béni productif,,,,0.0
710,sinon aime bien faire mongol ranked,,user,,1.0
10260,bonjournull,,,,0.0
7971,wooo johnson baby haha toutes grandes rockstars utilisent xx,,,,0.0
6621,toujours voulu essayer ça amp devinez quoi ça marche,,,,0.0
10043,oo jelly beans dites aime haricots gelée surtout noirs faveeee comme youuuuu,,,,0.0
4881,forfait wow tellement excité propre alors plante pot instant arroser jusqu pousse,,,,0.0
4272,quelle journée adoré soleil nourriture filles peuvent être battues eyyy transporté maison aussi hahaa avoir temps ace darl xxxx,,,,0.0
8202,plaît plaît plaît amis bains govanhill laissez piscine vide prendre photos,,,,0.0
4439,regardant sept livres mère espère endors après projet minuit demain,,,,0.0
84,deter aller chinois ds semaine trop envie noich,,,,1.0
8561,vacance kate beckinsale luke wilson va regarder fariah lynnnnnn rock,,,,0.0
9468,aime eoghan x,,,,0.0
2572,animaux tuent entre,jdcjdr,user user,,0.0
2801,acte antisémite mot facile prononcer car auteur ni noir ni arab,,user url,,0.0
2227,prise charge réfugiés fuyant guerre,,url,,1.0
728,attardé,,url,,0.0
3141,attarde trop personnes mérites absolument attention,,,,1.0
930,attardé dérange font avis faire photos dénudées déjà,,user url,,1.0
6285,oui soeur alors prenez soin supplémentaire,,,,0.0
10131,gogh miley pouvez faire wickck up,,,,0.0
7518,lisez blog incroyable sujet vin nourriture,,,,0.0
2637,pourquoi renois parlez fort comme ça,,,,1.0
4147,femme blanchisserie,,,,0.0
11362,salut citrouille comment allez,,,,0.0
7063,ahh allons vient désactiver bonne diggbar,,,,0.0
12350,continuez,,,,0.0
12056,slugger faut informés haha dis cela nom tous wen dis pouvons attendre sorte,,,,0.0
5349,raison devriez vraiment être célèbre haha,,,,0.0
3063,mec si gagne cobtre liverpool st eliminate donc fais attardé ici,,user user,,0.0
7906,oui ça tardera jouer lapin pâques aussi tellement amusant bien,,,,0.0
12118,vent a soufflé tapis assez lourd a abattu modem jee parle fureur nature,,,,0.0
2282,possible faire mathématiques chiffres arabes tandis autant facile,,url,,1.0
9720,bonsoir miley,,,,0.0
10657,merci beaucoup dire manchester a gagné regarde ronaldo avant viennent ici,,,,0.0
12353,damn spammers aime flickr supprime tous commentaires utilisateur lorsque bloquez belle fonctionnalité,,,,0.0
12006,trop nuits tardives rattrapent faut coucher bonne nuit twitterers,,,,0.0
2394,rebeus achètent fifa 19 bourses voit,,url,,1.0
814,juste habitude attarde plus couleur fringues,,user user user user,,0.0
5704,différents fuseaux horaires trop café,,,,0.0
13197,essayant travailler aujourd hui kaitlyn encore bleh mot,,,,0.0
12876,prendre grand 4 ans école maternelle suffisamment beignets rendre enseignants fous,,,,0.0
13445,resté maison aujourd hui a obtenu nouveau poêle haha,,,,0.0
1633,peux croire va dire fameux come direct inkerman mongol mentionne pré,,url,,0.0
9217,nouveau braintalk jordan gray trouverez quelques graphismes kick ass là pls partager si like,,,,0.0
12793,haha encore reste 17 jours scolaires 21,,,,0.0
620,permis effet reconnaissance droit droit,avortement,user user user url,,0.0
12191,a obtenu chanceux cartel coincé tête ça dérange,,,,0.0
11167,ça va baise tous autres fait pensais avoir,,,,0.0
901,a quand mec dit beurrettes laisse placent beurrets psk rebeus,,url,,1.0
11088,dois partir maintenant faire devoir demain bonne nuit tous,,,,0.0
1538,mdrr après renois parlent sexe,lrt,,,1.0
1960,caddie vu aime animés sale attardé chien bourré bois,,user url,,1.0
8713,aime façon dont skype disparaît musique quand appel finit si facilement impressionné,,,,0.0
1957,a renois va prendre maillot va dire allez dégage morveux,,url,,1.0
11955,joyeux anniversaire hombre célébré mien athf,,,,0.0
8053,merci avoir joey joe twitter jon maintenant tout dont besoin jordan amp danny xxx,,,,0.0
4545,humm istore beaucoup requêtes similaires peut être devriez diriger,,,,0.0
8288,lora lt 33 you cuzzzz point gossipgirl it uppp yayerrrrzzzzz,,,,0.0
2401,pendant 40 ans ânonné immigration africaine chance france résultats,,user url,,1.0
1068,faut déja être attardé comparer patrick sebastien symphonie,,user,,0.0
13335,eh bien pouvez lier toute façon,,,,0.0
13340,aww fier être première réponse repris mises jour haha,,,,0.0
5734,oui tout sucre sel réhydraté rapidement,,,,0.0
11129,bon point merci pense jamais remarqué parce cherche toujours absorber informations di ioc,,,,0.0
11639,quelqu gunna joint peu jeremy kyle bientôt,,,,0.0
12927,allez voir,,,,0.0
11099,aussi yay bonjour,,,,0.0
13089,bonjour aussi,,,,0.0
6047,aime café eau coca bière,,,,0.0
12378,lol vas meuf,,,,0.0
4869,seule meilleures histoires amour,,,,0.0
6973,demande comment tous fonds voyages,,,,0.0
7519,aime bébé poupée,,,,0.0
13330,pourquoi oui oie exceptionnellement talentueuse fonctionne brioso eh bien comprenez,,,,0.0
10321,lol boss ennuie quand chante groupe brady,,,,0.0
7613,vais devoir nettoyer chambre faire cuire gâteau demain 13 heures demi hee journée b,,,,0.0
6026,pyt excellente chanson,,,,0.0
11581,eh attendez semaine prochaine lorsque aperçus officiels commenceront alors choses discuter,,,,0.0
546,tête âne a rien compris juifs tuer parce défendent veux,trump migrants trump,url,,1.0
8023,eeee merci,,,,0.0
2728,ptdr arrête faire attardé ici entrain serrer pr vieux pique mode araki,,user url,,0.0
2314,fait zemmour arabe rac,,user user user user user url,,1.0
8051,aime bien déchiqueteuse aussi bonne humeur sérieuse aujourd hui doit être quelque chose air opium peut être,,,,0.0
7433,k f rock notts alors appelez laissez connaître progrès xx,,,,0.0
4699,hah oui suppose adore service clientèle,,,,0.0
7070,merci courtney,,,,0.0
7676,oui faites,,,,0.0
2679,rebeus ça,,user,,0.0
812,vem mongol,,user,,0.0
2913,islamo bobo feministo vege gauchiste meme nen fait etais vegetarienne depuis quelques mois deja,,user url,,0.0
10776,téléchargement certaines applications puis aller école revoir,,,,0.0
